,Airline,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12
0,Air Caledonie International,0.0,0.0,3.8907,5.5907,4.8527,5.0463,3.2593,4.817,4.7317,5.4093,4.114,3.251
1,Air Canada,0.0,0.0,282.2877,322.5487,386.1337,448.3783,442.0177,443.863,382.5057,372.247,339.4977,351.597
2,Air China,0.0,0.0,718.693,606.911,573.7663,536.8107,473.7437,406.938,364.5803,368.833,367.947,443.051
3,Air India,0.0,0.0,161.2267,152.769,131.2867,116.59,121.351,130.1677,153.7567,189.632,224.04,216.58
4,Air Mauritius,0.0,0.0,46.8993,37.4673,35.4073,28.568,30.4813,36.5367,50.3867,55.992,54.0343,52.2957
5,Air New Zealand,0.0,0.0,1512.474,1375.3078,1253.835,1167.3187,1256.6965,1282.7137,1239.6095,1177.3555,1158.8245,1259.663
6,Air Niugini,0.0,0.0,43.319,35.5787,32.8263,34.5107,32.6913,32.5307,29.459,31.2513,36.762,43.7373
7,Air Vanuatu,0.0,0.0,3.6923,4.5607,4.9203,4.1963,3.3477,3.4535,3.5803,4.1898,4.7497,4.09
8,AirAsia X,0.0,0.0,401.8293,458.7353,578.9727,635.5582,621.1018,619.3653,598.32,594.316,599.773,575.226
9,All Nippon Airways,0.0,0.0,298.145,298.0743,309.437,360.7807,384.431,442.0413,457.1193,462.0277,448.2003,441.164
10,American Airlines,0.0,0.0,7.2933,13.3847,30.4723,37.0777,29.3043,64.2757,71.139,72.2073,19.8327,5.206
11,Asiana Airlines,0.0,0.0,193.9483,201.0793,202.8803,187.2353,178.0237,166.11,169.9987,164.6773,176.0403,163.2567
12,Batik Air Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Beijing Capital Airlines,0.0,0.0,216.3097,184.5997,218.974,183.833,187.1363,165.5497,194.6813,205.1487,235.323,233.2713
14,British Airways,0.0,0.0,182.6503,189.666,203.4277,207.9625,201.508,194.3017,192.818,205.6132,209.8872,201.5782
15,Cathay Pacific Airways,0.0,0.0,3011.965,3066.8367,3191.4817,3359.3993,3566.9067,3705.2223,3593.501,3553.7397,3426.0057,3471.317
16,Cebu Pacific Air,0.0,0.0,237.7303,215.7537,209.5513,205.4593,210.8123,235.0477,286.2933,339.5343,333.1513,301.137
17,China Airlines,0.0,0.0,228.5927,254.5373,266.8552,303.5605,318.1862,313.1583,293.2033,297.6822,288.947,300.6238
18,China Eastern Airlines,0.0,0.0,784.464,789.1703,772.05,681.4743,664.024,656.4647,712.435,754.9323,822.6237,777.1543
19,China Southern Airlines,0.0,0.0,1255.579,1452.5667,1564.7333,1688.283,1780.499,2092.3283,2003.1097,1734.68,1561.0623,1579.841
20,Delta Air Lines,0.0,0.0,233.4607,262.781,271.5897,291.1667,337.183,379.318,366.5563,327.5503,262.4453,239.401
21,Donghai Airlines,0.0,0.0,,,0.0,0.0,1.1177,3.2323,3.996,2.8783,2.9543,2.8653
22,Emirates,0.0,0.0,769.5398,757.3009,718.3713,704.8162,763.257,799.0639,803.4825,800.2579,813.601,822.3009
23,Etihad Airways,0.0,0.0,1025.853,1189.6,1370.558,1425.3547,1259.8093,1074.655,911.733,910.139,953.5267,917.0627
24,Eva Air,0.0,0.0,124.6413,132.632,132.9653,152.011,176.866,197.1863,199.3387,180.571,187.3817,198.111
