,Airline,Month_num,Passengers_In,Passengers_Out
0,Solomon Airlines,1,1690,1411
109,Federal Express Corporation,1,0,0
116,Qantas Airways,1,2394,2019
117,Qantas Airways,1,72093,65699
646,SriLankan Airlines,1,8550,7431
643,Qantas Airways,1,3732,3425
629,Korean Air,1,19782,15510
709,Batik Air Indonesia,1,6329,3515
626,Virgin Australia,1,64424,57170
621,Air Caledonie International,1,8291,7336
618,Malindo Air,1,4712,3662
616,Nauru Airlines,1,664,771
129,Qantas Airways,1,12032,11569
603,United Parcel Service,1,0,0
596,Qantas Airways,1,55384,49433
625,Eva Air,1,6514,5596
591,Qantas Airways,1,7786,7467
107,Donghai Airlines,1,720,421
719,Malaysia Airlines,1,52255,44582
883,Polar Air Cargo,1,0,0
879,Polar Air Cargo,1,0,0
870,Scoot Tigerair,1,36117,29692
867,Jetstar,1,66369,59700
850,Virgin Australia,1,2910,2170
843,Qantas Airways,1,7632,6896
717,Emirates,1,8129,5911
839,Federal Express Corporation,1,0,0
90,China Airlines,1,25827,20116
779,United Parcel Service,1,0,0
768,Federal Express Corporation,1,0,0
747,Polar Air Cargo,1,0,0
731,Etihad Airways,1,56934,42852
730,Air Mauritius,1,3535,3098
832,Emirates,1,10354,10224
73,Emirates,1,13702,8539
571,American Airlines,1,8648,7160
543,Virgin Australia,1,15571,11641
370,Pacific Air Express,1,0,0
366,Jetstar,1,41995,42494
358,Air Canada,1,20122,16999
344,LATAM Airlines,1,4245,3813
340,Virgin Australia,1,14159,10755
320,Qantas Airways,1,7521,6736
372,Silk Air,1,7153,5810
317,Garuda Indonesia,1,36343,27185
289,Virgin Australia,1,2415,1846
281,Jetstar Asia,1,3639,3309
277,Delta Air Lines,1,8428,7372
245,Cebu Pacific Air,1,16158,13545
230,Philippine Airlines,1,17290,16883
226,Royal Brunei Airlines,1,6696,6373
190,Virgin Australia,1,15076,11214
547,AirAsia X,1,6367,4666
400,Air China,1,28053,24187
402,Polar Air Cargo,1,0,0
144,All Nippon Airways,1,6548,6222
536,Cathay Pacific Airways,1,95907,75295
518,Samoa Airways,1,2257,1334
149,Jetstar,1,24574,21671
496,Qantas Airways,1,90201,85233
488,Qatar Airways,1,63705,52813
401,AirAsia X,1,58970,49530
482,United Parcel Service,1,0,0
451,Qantas Airways,1,11862,10150
434,Singapore Airlines,1,165330,143383
429,Air Vanuatu,1,6436,5100
428,British Airways,1,3392,2320
427,South African Airways,1,6901,6297
416,China Airlines,1,7011,5608
155,Vietnam Airlines,1,18338,18351
897,Hawaiian Airlines,1,11585,9975
104,Hainan Airlines,1,13380,10477
1274,Emirates,1,140965,110427
980,United Airlines,1,28760,25435
1327,Qantas Airways,1,31025,29907
982,Qantas Airways,1,3008,2654
1126,Qantas Airways,1,16226,13287
11,Fiji Airways,1,26844,22497
1009,Jetstar,1,8635,8226
38,Tasman Cargo Airlines,1,0,0
1052,Virgin Australia,1,25572,21811
1283,Jetstar,1,2445,2562
1326,Qantas Airways,1,6399,5701
29,Air New Zealand,1,1034,900
39,Qantas Airways,1,2652,2651
1309,Virgin Australia,1,1385,1019
15,Indonesia AirAsia,1,15508,12904
1122,Japan Airlines,1,10390,9835
41,Air India,1,8510,7573
1072,Emirates,1,0,0
17,Thai Airways International,1,37513,35968
1095,Jetstar,1,10899,9761
